,Unnamed: 0,Period start,Period end,Region ID,Region description,Average_Consumption,Coverage_Percentage,Total_Rainfall,Avg_Mean_Temp,Avg_Max_Temp,Avg_Min_Temp,Avg_Vapor_Pressure,Total_Rain_Days
121,121,2020-02-01,29/02/2020,1,Northland,407.0,89.44,12.4,21.5,28.3,14.7,18.7,4.0
122,122,2020-03-01,31/03/2020,1,Northland,456.0,90.11,42.8,18.5,23.8,13.2,17.2,18.0
123,123,2020-04-01,30/04/2020,1,Northland,499.0,90.0,44.4,16.5,22.3,10.8,15.6,10.0
124,124,2020-05-01,31/05/2020,1,Northland,567.0,89.94,219.8,14.7,19.2,10.2,14.7,21.0
125,125,2020-06-01,30/06/2020,1,Northland,600.0,89.74,178.0,13.3,17.7,9.0,13.7,20.0
126,126,2020-07-01,31/07/2020,1,Northland,666.0,89.55,366.6,12.1,16.5,7.8,12.4,19.0
248,248,2020-02-01,29/02/2020,2,Auckland,435.0,92.14,10.8,20.4,26.4,14.3,16.8,1.0
249,249,2020-03-01,31/03/2020,2,Auckland,497.0,92.18,38.8,17.9,23.2,12.5,15.1,11.0
252,252,2020-06-01,30/06/2020,2,Auckland,706.0,91.43,167.4,13.0,17.3,8.8,13.3,23.0
253,253,2020-07-01,31/07/2020,2,Auckland,801.0,91.45,110.8,11.6,15.8,7.3,11.6,19.0
375,375,2020-02-01,29/02/2020,3,Waikato,423.0,86.44,9.6,20.1,27.6,12.5,16.9,5.0
376,376,2020-03-01,31/03/2020,3,Waikato,473.0,86.95,64.0,17.4,24.6,10.2,14.1,9.0
377,377,2020-04-01,30/04/2020,3,Waikato,534.0,86.93,52.8,14.7,21.7,7.7,13.4,10.0
378,378,2020-05-01,31/05/2020,3,Waikato,652.0,87.01,76.8,12.4,18.6,6.1,11.6,9.0
379,379,2020-06-01,30/06/2020,3,Waikato,686.0,86.63,96.2,11.7,16.8,6.5,11.7,17.0
380,380,2020-07-01,31/07/2020,3,Waikato,785.0,76.99,94.0,9.9,15.4,4.3,10.5,15.0
502,502,2020-02-01,29/02/2020,4,Bay of Plenty,412.0,92.57,6.4,19.9,26.2,13.6,15.5,4.0
503,503,2020-03-01,31/03/2020,4,Bay of Plenty,488.0,92.76,94.8,15.9,21.3,10.4,13.1,8.0
504,504,2020-04-01,30/04/2020,4,Bay of Plenty,537.0,92.57,39.4,13.7,19.1,8.4,12.2,10.0
505,505,2020-05-01,31/05/2020,4,Bay of Plenty,637.0,92.61,58.4,10.7,15.9,5.4,10.5,9.0
507,507,2020-07-01,31/07/2020,4,Bay of Plenty,756.0,86.57,135.6,8.4,12.5,4.2,9.5,18.0
629,629,2020-02-01,29/02/2020,5,Gisborne,410.0,95.24,33.0,21.0,26.6,15.3,16.6,5.0
630,630,2020-03-01,31/03/2020,5,Gisborne,472.0,95.57,77.0,16.7,21.4,12.0,14.9,14.0
631,631,2020-04-01,30/04/2020,5,Gisborne,526.0,95.45,32.0,15.4,20.7,10.2,13.6,9.0
632,632,2020-05-01,31/05/2020,5,Gisborne,591.0,95.63,69.6,12.6,17.6,7.6,12.0,17.0
633,633,2020-06-01,30/06/2020,5,Gisborne,644.0,95.43,224.0,12.1,16.5,7.8,12.1,18.0
634,634,2020-07-01,31/07/2020,5,Gisborne,719.0,95.44,115.2,10.2,14.5,5.8,9.9,14.0
756,756,2020-02-01,29/02/2020,6,Hawke's Bay,462.0,93.16,2.4,20.8,26.0,15.6,15.0,1.0
757,757,2020-03-01,31/03/2020,6,Hawke's Bay,523.0,93.63,26.4,17.0,22.0,12.0,13.2,9.0
758,758,2020-04-01,30/04/2020,6,Hawke's Bay,587.0,93.72,6.2,15.3,21.2,9.5,11.4,4.0
759,759,2020-05-01,31/05/2020,6,Hawke's Bay,671.0,93.63,58.2,12.3,17.6,7.0,10.7,14.0
760,760,2020-06-01,30/06/2020,6,Hawke's Bay,725.0,93.57,90.4,11.7,16.1,7.3,11.0,13.0
761,761,2020-07-01,31/07/2020,6,Hawke's Bay,807.0,93.39,53.4,9.5,14.3,4.8,9.1,13.0
883,883,2020-02-01,29/02/2020,7,Taranaki,386.0,91.81,52.2,18.3,23.3,13.4,17.9,6.0
884,884,2020-03-01,31/03/2020,7,Taranaki,450.0,93.08,104.0,16.4,21.0,11.7,14.5,12.0
885,885,2020-04-01,30/04/2020,7,Taranaki,506.0,93.23,76.2,14.6,19.0,10.2,14.1,18.0
888,888,2020-07-01,31/07/2020,7,Taranaki,691.0,61.12,155.0,10.4,14.2,6.5,10.3,20.0
1010,1010,2020-02-01,29/02/2020,8,Manawatu-Wanganui,393.0,86.39,58.2,19.1,23.9,14.3,15.0,6.0
1011,1011,2020-03-01,31/03/2020,8,Manawatu-Wanganui,456.0,87.01,43.0,16.4,21.2,11.5,12.7,12.0
1014,1014,2020-06-01,30/06/2020,8,Manawatu-Wanganui,656.0,86.9,94.2,11.6,15.3,8.0,10.6,16.0
1015,1015,2020-07-01,31/07/2020,8,Manawatu-Wanganui,735.0,63.63,83.6,10.4,13.9,6.8,9.3,14.0
1137,1137,2020-02-01,29/02/2020,9,Wellington,397.0,89.6,41.8,18.0,21.2,14.7,15.7,10.0
1138,1138,2020-03-01,31/03/2020,9,Wellington,488.0,89.95,121.0,15.4,18.8,12.1,12.6,13.0
1139,1139,2020-04-01,30/04/2020,9,Wellington,564.0,89.87,22.0,13.9,16.7,11.1,12.3,11.0
1140,1140,2020-05-01,31/05/2020,9,Wellington,693.0,89.78,136.4,12.3,14.7,9.9,11.4,11.0
1142,1142,2020-07-01,31/07/2020,9,Wellington,837.0,86.93,58.8,9.6,12.2,6.9,9.3,16.0
1265,1265,2020-03-01,31/03/2020,16,Tasman,530.0,87.77,34.3,14.8,21.4,8.3,12.9,12.0
1266,1266,2020-04-01,30/04/2020,16,Tasman,617.0,91.43,35.4,12.5,19.2,5.8,11.9,8.0
1267,1267,2020-05-01,31/05/2020,16,Tasman,713.0,91.18,80.6,9.7,16.4,3.0,10.6,7.0
1268,1268,2020-06-01,30/06/2020,16,Tasman,749.0,91.27,52.2,9.6,15.3,4.0,9.8,12.0
1391,1391,2020-02-01,29/02/2020,17,Nelson,402.0,93.08,29.6,18.8,23.2,14.5,16.2,7.0
1392,1392,2020-03-01,31/03/2020,17,Nelson,480.0,91.3,39.3,15.9,20.5,11.2,13.6,10.0
1393,1393,2020-04-01,30/04/2020,17,Nelson,573.0,93.17,41.4,13.5,18.4,8.6,11.7,8.0
1394,1394,2020-05-01,31/05/2020,17,Nelson,704.0,92.68,71.4,10.9,15.7,6.1,10.4,8.0
1395,1395,2020-06-01,30/06/2020,17,Nelson,760.0,92.66,74.6,10.4,14.7,6.0,9.9,15.0
1396,1396,2020-07-01,31/07/2020,17,Nelson,820.0,92.35,64.8,8.6,13.4,3.7,8.5,11.0
1518,1518,2020-02-01,29/02/2020,18,Marlborough,454.0,89.44,24.6,18.7,23.6,13.8,15.6,6.0
1519,1519,2020-03-01,31/03/2020,18,Marlborough,519.0,90.3,30.6,15.6,21.0,10.3,13.1,9.0
1520,1520,2020-04-01,30/04/2020,18,Marlborough,555.0,90.47,41.8,13.1,18.5,7.6,11.6,7.0
1521,1521,2020-05-01,31/05/2020,18,Marlborough,665.0,90.29,75.8,10.4,15.8,5.0,10.7,7.0
1522,1522,2020-06-01,30/06/2020,18,Marlborough,707.0,90.06,55.0,9.9,14.9,5.0,9.9,13.0
1523,1523,2020-07-01,31/07/2020,18,Marlborough,766.0,89.71,55.2,7.9,13.5,2.3,8.5,9.0
1645,1645,2020-02-01,29/02/2020,12,West Coast,399.0,88.55,241.5,16.2,19.7,12.7,16.2,18.0
1646,1646,2020-03-01,31/03/2020,12,West Coast,445.0,89.7,197.2,14.3,18.6,9.9,12.8,13.0
1647,1647,2020-04-01,30/04/2020,12,West Coast,491.0,89.55,307.1,12.0,16.2,7.9,11.8,18.0
1648,1648,2020-05-01,31/05/2020,12,West Coast,551.0,89.79,175.2,10.9,15.2,6.6,10.4,13.0
1649,1649,2020-06-01,30/06/2020,12,West Coast,562.0,89.53,115.4,9.7,14.3,5.1,9.0,14.0
1650,1650,2020-07-01,31/07/2020,12,West Coast,599.0,89.52,215.2,8.1,12.6,3.6,8.4,17.0
1772,1772,2020-02-01,29/02/2020,13,Canterbury,468.0,89.3,23.0,18.1,24.4,11.9,14.3,10.0
1773,1773,2020-03-01,31/03/2020,13,Canterbury,582.0,91.19,58.4,14.0,19.4,8.5,12.1,14.0
1774,1774,2020-04-01,30/04/2020,13,Canterbury,656.0,88.96,13.4,12.7,19.0,6.4,10.8,8.0
1775,1775,2020-05-01,31/05/2020,13,Canterbury,795.0,90.21,31.8,9.4,15.4,3.4,9.4,16.0
1776,1776,2020-06-01,30/06/2020,13,Canterbury,931.0,91.03,105.6,7.4,12.1,2.8,8.5,24.0
1777,1777,2020-07-01,31/07/2020,13,Canterbury,1013.0,90.71,66.6,6.4,11.5,1.2,7.8,21.0
1899,1899,2020-02-01,29/02/2020,14,Otago,443.0,88.37,110.0,15.7,19.4,12.0,12.8,13.0
1900,1900,2020-03-01,31/03/2020,14,Otago,557.0,89.92,43.8,13.0,16.5,9.6,11.0,12.0
1901,1901,2020-04-01,30/04/2020,14,Otago,663.0,89.9,45.6,11.6,15.2,7.9,10.2,10.0
1902,1902,2020-05-01,31/05/2020,14,Otago,783.0,89.83,5.4,10.0,14.0,6.0,9.0,5.0
1903,1903,2020-06-01,30/06/2020,14,Otago,896.0,89.58,68.4,7.6,11.4,3.8,7.6,13.0
1904,1904,2020-07-01,31/07/2020,14,Otago,993.0,70.79,70.0,7.2,10.6,3.7,7.5,10.0
2026,2026,2020-02-01,29/02/2020,15,Southland,479.0,89.98,110.4,14.7,18.7,10.7,13.2,18.0
2027,2027,2020-03-01,31/03/2020,15,Southland,574.0,91.82,85.5,12.1,17.0,7.2,11.3,13.0
2028,2028,2020-04-01,30/04/2020,15,Southland,688.0,88.48,96.9,11.1,15.6,6.7,10.8,19.0
2029,2029,2020-05-01,31/05/2020,15,Southland,800.0,91.84,15.2,8.9,13.5,4.2,9.4,13.0
2030,2030,2020-06-01,30/06/2020,15,Southland,898.0,88.42,73.3,6.4,10.9,2.0,7.9,14.0
